日期,预测结果
2024-08-24,18180.383
2024-08-25,18156.28
2024-08-26,18132.178
2024-08-27,18108.02
2024-08-28,18084.457
2024-08-29,18062.643
2024-08-30,18040.846
2024-08-31,18019.062
2024-09-01,17997.268
2024-09-02,17975.53
2024-09-03,17955.285
2024-09-04,17935.06
2024-09-05,17914.824
2024-09-06,17894.639
2024-09-07,17875.248
2024-09-08,17856.041
2024-09-09,17836.867
2024-09-10,17817.695
2024-09-11,17798.545
2024-09-12,17779.363
2024-09-13,17760.2
2024-09-14,17741.035
2024-09-15,17721.854
2024-09-16,17702.715
2024-09-17,17683.545
2024-09-18,17664.379
2024-09-19,17645.146
2024-09-20,17626.023
2024-09-21,17607.062
2024-09-22,17588.535
2024-09-23,17571.775
